Title,Description,Links,Publication Date
Lamoda меняет владельца // Онлайн-ритейлера выкупит владелец российского «Стокманна» Яков Панченко,"Международный холдинг Global Fashion Group (GFG) принял решение продать Lamoda бизнесмену Якову Панченко. В апреле GFG уже сообщал о приостановке инвестиций в российский бизнес из-за военной операции РФ на Украине. Закрытие сделки по продаже активов в России, Казахстане и Белоруссии планируется в ближайшие месяцы.",https://www.kommersant.ru/doc/5599870,"Fri, 07 Oct 2022 12:34:00 +0300"
С началом протестов использование VPN в Иране выросло на 3082%,"В конце сентября спрос на VPN-сервисы в Иране вырос на 2164% в сравнении с тем же периодом предыдущего месяца. Это данные исследовательского ресурса Top10VPN. Спрос на VPN вырос с началом протестов в Иране, он связан с перебоями интернета и блокировкой некоторых сервисов во время протестов. По данным Top10VPN, пик спроса на VPN пришелся на 26 сентября — тогда он вырос на 3082%. С тех пор высокий спрос сохраняется — он по-прежнему превышает нормальный уровень почти на 2000%. Швейцарская компания Proton также сообщила о росте спроса на ее VPN-сервис на 5000%.По данным компаний Cloudflare и NetBlocks, первые перебои в работе интернета были зафиксированы 19 сентября — через несколько дней после начала протестов, которые были вызваны смертью девушки, задержанной полицией нравов за неправильное ношение хиджаба. С тех пор перебои в работе телекоммуникационных сетей продолжаются. По мнению многих экспертов и активистов, их глушат власти, на что указывает и тот факт, что такие перебои начинаются каждый день примерно…",https://www.kommersant.ru/doc/5596234,"Fri, 07 Oct 2022 11:55:00 +0300"
Евросоюз разъяснил условия разморозки частных российских активов,"Еврокомиссия даст возможность Национальному расчетному депозитарию (НРД) разморозить активы для завершения контрактов и соглашений. Для этого они должны получить соответствующие разрешения от европейских регуляторов. Это следует из документа о восьмом пакете санкций в официальном журнале Евросоюза.Дать разрешение на разморозку активов могут компетентные органы стран, входящих в Евросоюз, например регуляторы или министерства финансов. Для завершения операций по соглашениям, заключенным до 3 июня (в этот день НРД попал под санкции), российские депозитарии могут получить условия и ресурсы на «целесообразных» условиях. Проводить операции разрешается до 7 января 2023 года.Еврокомиссия уже давала санкционные послабления НРД после того, как он попал под ограничения в июне. Еврокомиссия разрешила расчеты с депозитарием при условии, что он не будет получать материальную выгоду. В связи с этим НРД отменил комиссии за перевод российских ценных бумаг из иностранных депозитариев, а также начал операции по банковским…",https://www.kommersant.ru/doc/5596240,"Fri, 07 Oct 2022 11:40:00 +0300"
Производитель бумаги SvetoCopy продал российские активы местному менеджменту,"Американская компания Sylvamo Corporation продала российскую «дочку» «Сильвамо Корпорейшн Рус» менеджменту, возглавлявшему местное отделение компании. Сумма сделки составила $420 млн. Ее заключили 6 октября. Об этом говорится в сообщении компании.Активы выкупила созданная недавно компания «Палп инвест», ею владеет гендиректор АО «Сильвамо Корпорейшн Рус» Тимур Габидуллин. За вычетом расходов на трансакции Sylvamo Corporation получила $390 млн. «Сильвамо Корпорейшн Рус» принадлежит Светогорский целлюлозно-бумажный комплекс.  Годовое производство комбината — 720 тыс. тонн целлюлозы, бумаги и картона. Sylvamo Corporation объявила о желании уйти с российского рынка в мае. В 2021 году на бизнес в России пришлось 15% общей выручки американской компании.Анастасия Ларина",https://www.kommersant.ru/doc/5596229,"Fri, 07 Oct 2022 11:22:00 +0300"
Европа заполнила газохранилища на 90%,"Газовые хранилища в Европе заполнены более чем на 90%, свидетельствуют данные Gas Infrastructure Europe. Газохранилища восьми европейских стран превысили уровень 90%. Наиболее заполнены газохранилища Хорватии, Дании, Франции, Германии, Италии, Нидерландов, Польши, Испании и Швеции.Запасы газа в Инчукалнском ПХГ в Латвии находятся на самом низком уровне среди стран Евросоюза — 53%. Это хранилище отвечает за резервное газоснабжение Латвии, Литвы, Эстонии и Финляндии. Хранилища Португалии заполнены на 100%.С января поставки российского газа в Европу в годовом выражении снизились на 45% (до 45 млрд кубометров). В третьем квартале импорт составил менее 10 млрд куб. м (сокращение на 70% год к году). Экспорт в страны Европы увеличила Норвегия — с начала года на 8% (6 млрд куб. м), Азербайджан — на 50% (2,5 млрд куб. м). Основной источник замещения российских поставок — импорт СПГ, он вырос на 65%.Подробнее — в материале «Газ занимает предоставленный объем».Анастасия Ларина",https://www.kommersant.ru/doc/5596187,"Fri, 07 Oct 2022 10:25:00 +0300"
"Цены на газ в Европе снижаются на 6,5%","Биржевые цены на газ в Европе снижаются до $1680 за тысячу кубометров (или на 6,5%) по сравнению с показателем на закрытии торгов 6 октября ($1798,7). Средняя расчетная цена ближайших фьючерсов в сентябре снизилась до $2093 за тысячу кубометров (или на 14,6%). Об этом свидетельствуют данным лондонской биржи ICE. 5 октября цены на газ в Европе упали до $1600 впервые с 21 июля. Тогда «Газпром» возобновил поставки российского сырья в Италию через Австрию. Цены на газ начали падать после длительного периода повышения цен в августе и сентябре. Причиной роста цен стали ремонт турбин «Северного потока», а также обнаружение утечек на трех нитках «Северного потока» и «Северного потока-2».Подробнее — в материале «Газ занимает предоставленный объем».Анастасия Ларина",https://www.kommersant.ru/doc/5596173,"Fri, 07 Oct 2022 10:03:00 +0300"
Росавиация продлила ограничение полетов на юг России до 16 октября,"Росавиация в 37-й раз продлила режим ограничения на полеты в 11 аэропортов юга и центральной части России. Запрет будет действовать до 16 октября. В прошлый раз его продлевали 30 сентября.Полеты ограничены в аэропорты городов Анапа, Белгород, Брянск, Воронеж, Геленджик, Краснодар, Курск, Липецк, Ростов-на-Дону, Симферополь и Элиста. Все остальные российские аэропорты работают штатно.Авиакомпаниям рекомендовали использовать альтернативные маршруты через аэропорты Сочи, Волгограда, Минеральных Вод, Ставрополя и Москвы.Аэропорты юга России прекратили работу с 4:47 24 февраля из-за начала военной операции на Украине. С этого дня Росавиация регулярно продлевает запрет на полеты.",https://www.kommersant.ru/doc/5596135,"Fri, 07 Oct 2022 09:04:00 +0300"
Доллар подорожал до 61 рубля,"После открытия торгов на Мосбирже доллар США превысил отметку 60,8 руб./$, а евро — 59 руб./€. Международные валюты укрепляются по отношению к рублю после сильного падения в третьей декаде сентября.Индексы Мосбиржи и РТС падают относительно показателей закрытия вчерашних торгов. Композитные индексы по состоянию на 8:30 достигли отметки 2017 пункта (–0,6%) и 1044 (–1,61%) соответственно.Официальные курсы ЦБ на сегодня: 60,2 руб./$ и 58,2 руб./€.22 сентября, спустя день после объявления частичной мобилизации в России, биржевой курс доллара впервые за два месяца опустился ниже 59 руб./$, курс евро также обновил двухмесячный минимум. Подобную ситуацию связывают с опасениями инвесторов относительно заморозки валют «недружественных стран» в России.Актуальные курсы доллара и евро, а также котировки главных индексов и акций на Мосбирже доступны на специальной странице.Андрей Сапожников",https://www.kommersant.ru/doc/5596123,"Fri, 07 Oct 2022 08:36:00 +0300"
Премьер Польши обвинил Германию в нарушении рыночных принципов ЕС,"Премьер-министр Польши Матеуш Моравецкий раскритиковал Германию за решение заморозить цены на газ в стране. Господин Моравецкий обвинил ФРГ в нарушении принципов единого рынка Евросоюза (ЕС). Он также предложил приостановить действие системы квот на вредные выбросы в ЕС на год-два.Польский премьер поднял эту тему накануне на полях начавшегося в Праге неформального саммита ЕС. По его словам, власти Германии решили выделить €200 млрд на поддержку своей экономики, «не оглядываясь ни на кого». Он назвал эту сумму гигантской. Матеуш Моравецкий отметил, что раньше ФРГ предостерегала другие страны Европы от подобных мер.«Во время последнего финансового кризиса и также последнего кризиса, связанного с COVID, Германия любила поучать другие государства, что нельзя использовать собственные финансовые механизмы, что это ведет к раздуванию бюджетного дефицита, увеличивает долг…Итальянцы и французы не могли этого делать, поляки не могли, а они могут. Если это равный и справедливый подход к нормам единого европейского…",https://www.kommersant.ru/doc/5596074,"Fri, 07 Oct 2022 06:30:00 +0300"
Посол РФ — о подозрениях в причастности России к ЧП на «Северных потоках»: у нас нет идиотов,"Посол РФ в Италии Сергей Разов назвал спекуляциями мнение ряда европейских стран о том, что Россия причастна к ЧП на газопроводах «Северный поток» и «Северный поток-2». По его мнению, эти предположения возникли «под влиянием русофобской пропаганды».«Сейчас идут эти спекуляции, что русские сами взорвали свой газопровод. Я понимаю, что под влиянием русофобской пропаганды у людей могут сложиться разные мнения о россиянах, о руководителях России, но я вас уверяю, что у нас нет идиотов»,— заявил посол в эфире итальянского телеканала Rai1 (цитата по «РИА Новости»).26 сентября в «Северном потоке» и «Северном потоке-2» резко упало давление. Дания выявила в газопроводе «огромную» утечку. Швеция по итогам расследования сообщила, что причиной послужили взрывы. Кто именно их осуществил, не уточняется. О возможной причастности России к ЧП говорили Великобритания, Германия, Польша. В Кремле считают эти предположения «глупыми и абсурдными». Владимир Путин утверждал, что взрывы организовали англосаксы. Однако у Москвы…",https://www.kommersant.ru/doc/5596068,"Fri, 07 Oct 2022 06:13:00 +0300"
США готовят ответ на решение ОПЕК+ о сокращении добычи нефти,"Госсекретарь США Энтони Блинкен назвал «разочаровывающим и недальновидным» решение ОПЕК+ сократить объемы добычи нефти с ноября на 2 млн баррелей в сутки (барр./сут.). Он сообщил, что Вашингтон обдумывает ответные меры, в том числе в области отношений с Саудовской Аравией.Господин Блинкен затронул эту тему на пресс-конференции в Лиме после встречи с главой МИД Перу Сесаром Ландой. Госсекретарь считает, что предложение на рынке энергоносителей «должно соответствовать спросу», передает ТАСС. На вопрос о возможной переоценке отношений с Саудовской Аравией он не дал конкретного ответа.«Что касается дальнейших отношений (с Саудовской Аравией.— ""Ъ""), мы рассматриваем ряд вариантов ответных действий... Мы будем учитывать все наши интересы и тесно консультироваться со всеми заинтересованными сторонами при принятии решений о дальнейших шагах»,— сказал госсекретарь (цитата по Reuters).Страны ОПЕК+ согласовали сокращение добычи на заседании 5 октября. Квоты Саудовской Аравии и России снизятся на 500 тыс. барр./сут…",https://www.kommersant.ru/doc/5596089,"Fri, 07 Oct 2022 05:59:00 +0300"
Clearstream возобновил расчеты по российским депозитарным распискам,"Международный депозитарий Clearstream сообщил, что с сегодняшнего дня, 7 октября, возобновил расчеты по депозитарным распискам (DR) на российские акции эмитентов. Расчеты были приостановлены из-за начавшейся в России в августе автоматической конвертации депозитарных расписок в акции.Депозитарная расписка — это сертификат, удостоверяющий право собственности на акцию или облигацию иностранного эмитента. По сути, это такая же ценная бумага, которую эмитент выпустил, но разместил на бирже в другой стране. Там она торгуется в виде расписки.В пресс-релизе уточняется, что возобновлены расчеты для тех эмитентов, по которым у агентов депозитарных программ открыты книги для канселяции расписок. Clearstream также напомнил, что российский Национальный расчетный депозитарий (НРД) продлил до 31 декабря отказ от взимания комиссий за проведение операций, связанных с переводом российских и иностранных ценных бумаг. В апреле президент Владимир Путин подписал закон о делистинге депозитарных расписок российских компаний…",https://www.kommersant.ru/doc/5596075,"Fri, 07 Oct 2022 05:00:00 +0300"
Лососю обеспечивают свободу передвижения // Рыбопромышленники не видят смысла ограничивать экспорт,"Заявление регулятора о возможном ограничении экспорта красной рыбы для стабилизации ее стоимости на внутреннем рынке привело к противоположному эффекту. Производители почти за месяц увеличили отпускные цены на 22–28%. Всероссийская ассоциация рыбопромышленников (ВАРПЭ) уже выступила против запрета, указывая, что на экспорт приходится не более 10% от добываемого объема. Ограничение вывоза и снижение цены могут привести к тому, что рыбаки будут придерживать продукцию, ожидая пикового спроса, предупреждают эксперты.",https://www.kommersant.ru/doc/5595950,"Fri, 07 Oct 2022 01:02:00 +0300"
СМП-банк консолидирует активы для ПСБ // В опорный банк ОПК перейдет и страховой бизнес,"Подконтрольный братьям Ротенбергам СМП-банк стал единственным владельцем одноименной страховой компании. Эти изменения могут быть одним из этапов подготовки к будущему присоединению группы СМП-банка к ПСБ, у которого нет собственной страховой компании, отмечают источники “Ъ”. При этом не исключено и создание страховщика специально для военнослужащих и силовиков, однако в текущей ситуации это сопряжено с большими рисками, указывают эксперты.",https://www.kommersant.ru/doc/5595938,"Fri, 07 Oct 2022 01:02:00 +0300"
Кибербезопасности ищут ОС // Вырос спрос на защитный софт для российских операционных систем,"В 2022 году у компаний, массово переходящих на российский софт и операционные системы (ОС), вырос спрос на их интеграцию со средствами управления уязвимостями, выяснили в Positive Technologies. Большинство таких продуктов разрабатывались под зарубежные системы, например Windows, а адаптация с отечественными ОС на базе Linux будет затратной, признают участники рынка.",https://www.kommersant.ru/doc/5595925,"Fri, 07 Oct 2022 01:02:00 +0300"
Над пиратством предложено еще поработать // В Минцифры сочли сырым законопроект о принудительном лицензировании софта,"Минцифры посчитало недоработанным законопроект депутата Дмитрия Кузнецова о принудительном лицензировании контента, включая программное обеспечение из «недружественных» стран. Инициативу критикуют и участники российского рынка разработки ПО, опасающиеся зеркальных мер со стороны зарубежных компаний.",https://www.kommersant.ru/doc/5595908,"Fri, 07 Oct 2022 01:02:00 +0300"
История с бородой // Крупнейшие города прирастают барбершопами,"Сегмент барбершопов оказался устойчивым к перманентному кризису, спровоцированному вначале пандемией, а затем военной операцией на Украине. За два года число таких заведений в российских городах увеличилось на 54%. Одна из причин такого роста — развитие этого бизнеса по модели франшизы, что повысило интерес к нему со стороны представителей малого и среднего предпринимательства. Они стали открывать барбершопы в экономсегменте, который легче переживает кризисные явления.",https://www.kommersant.ru/doc/5595906,"Fri, 07 Oct 2022 01:02:00 +0300"
Данным становится тесно // В России усилился дефицит мощностей в дата-центрах,"Российский рынок центров обработки данных (ЦОДов) в 2022 году увеличится всего на 3 тыс. новых стойко-мест, в то время как в предыдущие годы он рос минимум на 4–5 тыс. стоек, подсчитали аналитики iKS-Consulting и 3data. Стоимость размещения оборудования в дата-центрах Москвы и Санкт-Петербурга, где сконцентрированы основные мощности ЦОДов, в сентябре выросла на 7,6% и 2,6% к второму кварталу соответственно. На ценах сказалось усиление дефицита мощностей: операторы не успевают вводить в строй новые площади из-за проблем с поставками оборудования, а некоторые и вовсе переносят проекты на 2023 год.",https://www.kommersant.ru/doc/5595905,"Fri, 07 Oct 2022 01:02:00 +0300"
Авиабилеты мобилизацию закончили // Упали цены на перелеты за рубеж,"Билеты на популярные в последние две недели зарубежные и приграничные российские направления подешевели до уровня месячной давности. Например, срочный вылет в Стамбул или Дубай, который после объявления частичной мобилизации мог обойтись в 600–700 тыс. руб., сейчас можно найти за 20 тыс. и 40 тыс. руб. соответственно. В авиакомпаниях подтверждают, что спрос упал от полутора до двух раз на отдельных рейсах, а глубина бронирования вернулась к обычным уровням: от недели до месяца.",https://www.kommersant.ru/doc/5595900,"Fri, 07 Oct 2022 01:02:00 +0300"
Силы мировой реакции // Как глобальный энергетический кризис повлияет на возрождение атомной отрасли,"Атомная энергетика, интерес к которой постепенно возрастал в последние годы из-за климатической повестки, теперь имеет все реальные шансы на новое возрождение. Энергетический кризис и беспрецедентный рост цен на все виды ископаемого топлива заставляет мир возвращаться к ядерным технологиям. “Ъ” разбирался, в каких странах начнется вторая волна «ядерного ренессанса» и какие перспективы есть у России на мировом рынке, учитывая текущую геополитическую обстановку.",https://www.kommersant.ru/doc/5595872,"Fri, 07 Oct 2022 01:02:00 +0300"
Товары для дома назовут по-домашнему // Российский бизнес OBI меняет бренд,"Российские магазины созданной в Германии DIY-сети OBI готовятся к ребрендингу. Возможные новые названия торговых точек HOBI и OBBI. Смена вывески для нового собственника компании — вынужденный шаг, он должен это сделать в течение полугода после передачи активов немецким владельцем сети. Однако эксперты ожидают полного ребрендинга не раньше будущего года.",https://www.kommersant.ru/doc/5595851,"Fri, 07 Oct 2022 01:02:00 +0300"
Цена вопроса // Менеджер практики по работе с компаниями сектора энергетики и коммунального хозяйства Kept Олег Дудихин о минусах и плюсах строительства АЭС,"История пока не знает прецедентов полностью коммерческой реализации проекта строительства даже одной АЭС, не говоря уже о масштабном переходе к атомной энергетике. Атомная энергетическая программа — это всегда политический и государственный проект, что объясняется рядом объективных обстоятельств.Во-первых, атомная станция — лидер антирейтинга по срокам строительства. Возведение АЭС от стадии «зеленой лужайки» в лучшем случае занимает около десяти лет, что в три-четыре раза дольше стройки угольной или газовой ТЭС сопоставимой мощности. Такие сроки обусловлены высокими требованиями к качеству сооружений, субподрядчикам и поставщикам, а также сложными согласованиями с регуляторами. Неконтролируемое затягивание строительства дополнительно увеличивает ценник и может сделать проект вовсе нерентабельным. В такой ситуации рыночное финансирование стройки не подходит, поэтому страна-вендор вынуждена выдавать на проекты льготные межгосударственные кредиты или придумывать сложные и не самые устойчивые схемы проектного…",https://www.kommersant.ru/doc/5593847,"Fri, 07 Oct 2022 01:02:00 +0300"
Как менялось отношение к атомной энергетике // История вопроса,"Самая масштабная стройка атомных энергоблоков в мировой истории развернулась в 1970-е годы, что тоже было связано с жесточайшим энергетическим кризисом на фоне дорожающей нефти из-за арабского нефтяного эмбарго, революции в Иране и последовавшей ирано-иракской войны. Львиная доля АЭС строилась в Северной Америке, Западной Европе, Японии, Южной Корее и СССР.На пике нефтяного кризиса — в 1976 году — в мире залили первый бетон (считается стартом строительства объекта) сразу под 43 энергоблока общей мощностью 42 ГВт. Но взлет относительно молодых ядерных технологий завершился весной 1986 года после катастрофы на Чернобыльской АЭС.Интерес к атомной энергетике постепенно начал возрождаться лишь спустя около 20 лет. Однако масштабы новой атомной стройки не успели достигнуть рекордных показателей 1970-х годов: первая волна «ядерного ренессанса» завершилась в марте 2011 года после второй крупной аварии, произошедшей на японской АЭС «Фукусима». С тех пор страны заморозили стройки и стали закрывать энергоблоки, а…",https://www.kommersant.ru/doc/5596014,"Fri, 07 Oct 2022 00:49:00 +0300"
Банкротства как с моратория сорвались // Кредиторы намерены заняться должниками вплотную,"По итогам девяти месяцев 2022 года можно констатировать, что тотальный мораторий на банкротство, действовавший с 1 апреля по 1 октября, дал передышку всем категориям должников. Количество граждан-банкротов, впрочем, продолжило расти, но почти вдвое медленнее, чем в прошлом году. Введение новых банкротных процедур в отношении юрлиц-должников снизилось на 30%. Юристы предсказывают волну банкротств в 2023–2024 годах, если государство и бизнес «не подставят друг другу плечо». Только за первые пять дней после отмены моратория кредиторы заявили о намерении обанкротить почти 2,5 тыс. своих должников, что сравнимо с показателями целого месяца.",https://www.kommersant.ru/doc/5595964,"Fri, 07 Oct 2022 00:01:00 +0300"
С возможностью дальнейших посляблений // Евросоюз проявил санкционную изобретательность,"Экономическая часть восьмого пакета антироссийских санкций ЕС, текст которого опубликован 6 октября, оказалась весьма разнообразной. В список запретов и ограничений попали как давно ожидавшиеся меры, вроде потолка цен на российскую нефть, так и неожиданный запрет на импорт металлургических полуфабрикатов — слябов. Санкции в отношении одних отраслей отличаются обтекаемостью формулировок, а запрет европейским юристам консультировать российские компании и граждан предельно конкретен. Впрочем, как обычно, для санкций в отношении наиболее чувствительных для самой европейской экономики рынков предусмотрены исключения и отсрочки.",https://www.kommersant.ru/doc/5595885,"Thu, 06 Oct 2022 23:12:00 +0300"
Подготовка к дизтопительному сезону // Цены на зимнее топливо растут в ожидании дефицита,"Российский рынок может второй год подряд столкнуться с дефицитом зимнего дизтоплива, так как налоговая политика дестимулирует выпуск суррогатов, которые прежде покрывали до половины потребностей в этом виде топлива. В начале октября цены на зимнее дизтопливо на СПбМСТБ преодолели 70 тыс. руб. за тонну, увеличившись на 25% относительно прошлого года. В Минэнеро утверждают, что рынок будет сбалансирован, и не ожидают роста розничных цен. Однако, по мнению экспертов, проблема дефицита зимнего дизтоплива усугубится в этом году.",https://www.kommersant.ru/doc/5595943,"Thu, 06 Oct 2022 22:57:00 +0300"
Рынок редкозаемных металлов // «Норникель» разместил облигации,"ГМК «Норильский никель» оживила российский долговой рынок, находящийся последние две недели в стагнации, собрав книгу на 25 млрд руб. При этом доходность бумаг к трехлетней оферте составила почти 10% годовых. Основными покупателями стали институциональные инвесторы, считают участники рынка. Эти инвесторы на фоне роста волатильности на рынке с интересом смотрят на выпуски качественных эмитентов, хотя требуют за свое участие заметную премию ко вторичному рынку.",https://www.kommersant.ru/doc/5595919,"Thu, 06 Oct 2022 22:04:00 +0300"
Россияне хранят в банках Грузии более $640 млн,"Вклады россиян, размещенные в коммерческих банках Грузии, по состоянию на август 2022 года составляют 1,88 млрд лари (около $643 млн, или 40 млрд руб.). Об этом сообщает грузинская неправительственная организация «Институт развития свободы информации» (IDFA) со ссылкой на Национальный банк Грузии. После начала военной операции России на Украине по конец августа 45 439 российских граждан открыли счета в грузинских банках. Из отчета следует, что по состоянию на август текущего года сумма средств, размещенных гражданами России в коммерческих банках Грузии, выросла примерно на 170%, а количество россиян, имеющих активные счета в грузинских банках, превысило 60 тыс. человек.По информации IDFI, оборот российского рубля в Грузии увеличился в три раза по сравнению с аналогичным периодом 2021 года -- во втором квартале 2022 года обменные пункты купили 949,8 млн руб. и продали 929,4 млн руб.После начала военной операции на Украине число въехавших в Грузию российских граждан резко увеличилось. По данным МВД Грузии…",https://www.kommersant.ru/doc/5595928,"Thu, 06 Oct 2022 21:22:00 +0300"
Turkish Airlines вернет мобилизованным деньги за неиспользованные авиабилеты,"Турецкая авиакомпания Turkish Airlines сообщила, что вернет деньги за неиспользованные авиабилеты мобилизованным гражданам России, а также их ближайшим родственникам. Средства возвратят без штрафов и сборов. Для отмены и возврата билетов необходимо предоставить документ, подтверждающий статус военнообязанного. В сообщении компании, которое приводит «Интерфакс», отмечается, возврат средств за билеты возможен для родственников военнообязанных первой категории — для родителей, супругов, детей. Для оформления возврата необходимо предоставить повестку и мобилизационное предписание. Также компания просит подтвердить отказ в обращении гражданина за разрешением на выезд с места жительства. 28 сентября Минтранс сообщал, что российские перевозчики вернут средства за неиспользованные билеты мобилизованным гражданам, которые приобрели их до объявления частичной мобилизации 21 сентября. Российские авиакомпании «Аэрофлот», «Победа», «NordWind», «Россия», «Азимут» сообщили, что готовы  обеспечить возврат билетов для…",https://www.kommersant.ru/doc/5595916,"Thu, 06 Oct 2022 20:49:00 +0300"
Компьютеры с российским настроением // ЕС запретил экспорт в РФ услуг IT-консалтинга,"Европейский запрет на оказание услуг IT-консалтинга клиентам из России скажется как на крупных технологических компаниях вроде «Яндекса» и VK, так и на IT-специалистах, переехавших в страны ЕС и работающих на заказчиков из РФ. При этом опрошенные “Ъ” юристы полагают, что техподдержка и гарантийное обслуживание не попадут под новые ограничения. Компании из ЕС, опасаясь нарушения санкций, уже и так не заключают контракты с лицами из России, говорят участники рынка.",https://www.kommersant.ru/doc/5595903,"Thu, 06 Oct 2022 20:34:00 +0300"
